instance,solver,result,time
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_0.smt2,Z3,unsat,0.04996776580810547
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_100.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1000.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10000.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10001.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10002.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10004.smt2,Z3,unsat,1.8179373741149902
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10005.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10006.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10007.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10008.smt2,Z3,unsat,2.225219249725342
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10010.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10012.smt2,Z3,unsat,0.8503632545471191
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10013.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10014.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10015.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10016.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10017.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10019.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1002.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10021.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10022.smt2,Z3,unsat,0.07084250450134277
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10023.smt2,Z3,sat,2.125635862350464
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10025.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10026.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10028.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10029.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10030.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10032.smt2,Z3,unsat,2.624990463256836
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10033.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10035.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10036.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1004.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10044.smt2,Z3,unsat,0.04722404479980469
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10046.smt2,Z3,sat,0.3037991523742676
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10048.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10050.smt2,Z3,unsat,0.03392982482910156
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10051.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10053.smt2,Z3,unsat,0.0469968318939209
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10054.smt2,Z3,unsat,0.08199334144592285
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10055.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10056.smt2,Z3,unsat,2.145479440689087
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10057.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10058.smt2,Z3,unsat,0.08500790596008301
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1006.smt2,Z3,unsat,0.2597188949584961
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10060.smt2,Z3,unsat,0.04918336868286133
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10062.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10063.smt2,Z3,unsat,1.6838231086730957
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10064.smt2,Z3,unsat,0.09426641464233398
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10066.smt2,Z3,unsat,0.0912942886352539
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10067.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10068.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10072.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10076.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1008.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10084.smt2,Z3,unsat,0.03168463706970215
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10085.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10086.smt2,Z3,unsat,0.05774188041687012
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10087.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10088.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10090.smt2,Z3,unsat,0.04673337936401367
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10091.smt2,Z3,unsat,1.347472906112671
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10092.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10094.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10095.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10096.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10098.smt2,Z3,unsat,0.1452634334564209
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_101.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1010.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10100.smt2,Z3,unsat,0.08713412284851074
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10102.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10103.smt2,Z3,unsat,0.03742361068725586
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10105.smt2,Z3,unsat,0.9813835620880127
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10107.smt2,Z3,unsat,0.05827903747558594
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10109.smt2,Z3,unsat,0.05887746810913086
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_1011.smt2,Z3,,
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10110.smt2,Z3,unsat,0.07953763008117676
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10111.smt2,Z3,sat,2.603726387023926
/home/z52lu/fastsmtData/smt_data/sage2/all/bench_10114.smt2,Z3,,
